run_ts         , dataset        , scenario, model                        , temperature, aggregator          , extremizing_alpha, public_ratio, bm25 , num_agents, num_rounds, n  , brier_mean, brier_median, accuracy
20260410_033018, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  48,    0.10732, 0.0064      ,   0.875
20260410_033018, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  48,    0.08502, 0.00303     ,   0.8958
20260410_033018, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  48,    0.09934, 0.0004      ,   0.8958
20260410_042914, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  48,    0.10724, 0.0009      ,   0.875
20260410_042914, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  48,    0.10607, 0.0006      ,   0.875
20260410_042914, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.3,          0.5, False,          3,          2,  48,    0.05859, 8e-05       ,   0.9167
20260410_042919, dev_small_48   , s0      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  48,    0.1152 , 0.00365     ,   0.8542
20260410_042919, dev_small_48   , s1      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  48,    0.12112, 0.00059     ,   0.8542
20260410_042919, dev_small_48   , s2      , gpt-5.4-mini                 ,         0.7, extremizing         ,               1.5,          0.5, False,          3,          2,  48,    0.05095, 2e-05       ,   0.9375
20260410_042258, dev_targeted_80, s0      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  80,    0.46584, 0.43025     ,   0.425
20260410_042258, dev_targeted_80, s1      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  80,    0.30092, 0.03249     ,   0.6375
20260410_042258, dev_targeted_80, s2      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, False,          3,          2,  80,    0.27503, 0.01021     ,   0.6625
20260410_042303, dev_targeted_80, s0      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  80,    0.45911, 0.3844      ,   0.4375
20260410_042303, dev_targeted_80, s1      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  80,    0.21895, 0.03825     ,   0.675
20260410_042303, dev_targeted_80, s2      , gpt-5.4-mini                 ,         0.7, mean                ,                  ,          0.5, True ,          3,          2,  80,    0.23714, 0.00521     ,   0.7125
20260410_050516, custom_48      , s0      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  48,    0.10336, 0.00225     ,   0.875
20260410_050516, custom_48      , s1      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  48,    0.12097, 0.00226     ,   0.8542
20260410_050516, custom_48      , s2      , gpt-5.4-mini                 ,         0.7, confidence_weighted ,                  ,          0.5, True ,          3,          2,  48,    0.09463, 0.00046     ,   0.8958
